_time,type,incoming_url,microservice
2018-03-12T17:26:04.000-0700,GA.GET,/api-gateway/v3/customers/,API-Gateway
2018-03-12T17:26:04.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:04.000-0700,GA.GET,/api-gateway/v3/customers/,API-Gateway
2018-03-12T17:26:05.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:07.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:07.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:07.000-0700,GA.POST,/api-gateway/v2/otakeys_bluetooth/authenticate_device_token/,API-Gateway
2018-03-12T17:26:07.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:07.000-0700,GA.POST,/api-gateway/v2/otakeys_bluetooth/authenticate_device_token/,API-Gateway
2018-03-12T17:26:07.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:07.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:08.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:08.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:08.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:08.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:08.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:08.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:08.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:08.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:08.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:14.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:14.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:14.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:14.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:15.000-0700,GA.GET,/api-gateway/v3/vehicle_types/,API-Gateway
2018-03-12T17:26:15.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:15.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:15.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:15.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:15.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:15.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:15.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:15.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:15.000-0700,GA.GET,/api-gateway/v3/vehicle_types/,API-Gateway
2018-03-12T17:26:16.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
2018-03-12T17:26:16.000-0700,GA.POST,/api-gateway/v2/logs,API-Gateway
